Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Ge-Sn-Te-S,7.462000,7.462000,15.153000,1.000000,35.850000,16.850000,27.930000,27.930000,9.500000,9.500000,26.350000,26.350000,0.470000,0.470000
Ge-Sn-Te-Se,7.682000,7.682000,14.295000,1.000000,31.060000,28.380000,5.140000,5.140000,1.340000,1.340000,29.720000,29.720000,0.910000,0.910000
Ge-Ti-O-S,6.202000,6.202000,21.931000,1.000000,137.650000,80.770000,90.260000,90.260000,28.440000,28.440000,109.210000,109.210000,0.590000,0.590000
Ge-Ti-O-Se,6.256000,6.256000,21.555000,1.000000,66.680000,115.960000,-134.960000,-134.960000,-24.640000,-24.640000,91.320000,91.320000,1.740000,1.740000
Ge-Ti-O-Te,6.410000,6.410000,20.529000,1.000000,-126.070000,-45.120000,-109.920000,-109.920000,-40.480000,-40.480000,-85.600000,-85.600000,0.360000,0.360000
Ge-Ti-Se-O,6.450000,6.450000,20.277000,1.000000,-49.050000,-20.850000,-40.180000,-40.180000,-14.100000,-14.100000,-34.950000,-34.950000,0.430000,0.430000
Ge-Ti-Se-S,6.977000,6.977000,17.329000,1.000000,117.240000,64.640000,81.590000,81.590000,26.300000,26.300000,90.940000,90.940000,0.550000,0.550000
Ge-Ti-Se-Te,7.296000,7.296000,15.851000,1.000000,32.990000,35.080000,-4.320000,-4.320000,-1.050000,-1.050000,34.040000,34.040000,1.060000,1.060000
Ge-Ti-S-O,6.386000,6.386000,20.687000,1.000000,132.580000,52.140000,112.070000,112.070000,40.220000,40.220000,92.360000,92.360000,0.390000,0.390000
Ge-Ti-S-Se,6.905000,6.905000,17.694000,1.000000,141.750000,52.900000,122.000000,122.000000,44.420000,44.420000,97.320000,97.320000,0.370000,0.370000
Ge-Ti-S-Te,7.044000,7.044000,17.005000,1.000000,50.440000,89.740000,-109.220000,-109.220000,-19.650000,-19.650000,70.090000,70.090000,1.780000,1.780000
Ge-Ti-Te-O,6.130000,6.130000,22.452000,1.000000,153.040000,-11.870000,152.120000,152.120000,82.450000,82.450000,70.580000,70.580000,-0.080000,-0.080000
Ge-Ti-Te-S,6.973000,6.973000,17.353000,1.000000,43.160000,40.820000,4.550000,4.550000,1.170000,1.170000,41.990000,41.990000,0.950000,0.950000
Ge-Ti-Te-Se,7.229000,7.229000,16.146000,1.000000,28.290000,-28.770000,-0.980000,-0.980000,28.530000,28.530000,-0.240000,-0.240000,-1.020000,-1.020000
Ge-W-O-S,6.051000,6.051000,23.041000,1.000000,250.090000,73.380000,228.560000,228.560000,88.360000,88.360000,161.730000,161.730000,0.290000,0.290000
Ge-W-O-Se,6.167000,6.167000,22.182000,1.000000,240.620000,56.870000,227.170000,227.170000,91.870000,91.870000,148.740000,148.740000,0.240000,0.240000
Ge-W-O-Te,6.351000,6.351000,20.919000,1.000000,54.970000,-31.910000,36.440000,36.440000,43.440000,43.440000,11.530000,11.530000,-0.580000,-0.580000
Ge-W-Se-O,6.742000,6.742000,18.562000,1.000000,-60.460000,9.680000,-58.910000,-58.910000,-35.070000,-35.070000,-25.390000,-25.390000,-0.160000,-0.160000
Ge-W-Se-S,6.806000,6.806000,18.210000,1.000000,107.540000,82.740000,43.890000,43.890000,12.400000,12.400000,95.140000,95.140000,0.770000,0.770000
Ge-W-Se-Te,7.142000,7.142000,16.542000,1.000000,135.080000,63.250000,105.460000,105.460000,35.920000,35.920000,99.160000,99.160000,0.470000,0.470000
Ge-W-S-O,6.593000,6.593000,19.408000,1.000000,-43.380000,-153.970000,503.100000,503.100000,55.300000,55.300000,-98.680000,-98.680000,3.550000,3.550000
Ge-W-S-Se,6.721000,6.721000,18.675000,1.000000,192.460000,61.610000,172.730000,172.730000,65.420000,65.420000,127.040000,127.040000,0.320000,0.320000
Ge-W-S-Te,6.912000,6.912000,17.660000,1.000000,169.040000,64.960000,144.070000,144.070000,52.040000,52.040000,117.000000,117.000000,0.380000,0.380000
Ge-W-Te-O,6.769000,6.769000,18.412000,1.000000,-15.550000,-50.380000,147.600000,147.600000,17.410000,17.410000,-32.960000,-32.960000,3.240000,3.240000
Ge-W-Te-S,6.804000,6.804000,18.221000,1.000000,72.840000,-26.890000,62.920000,62.920000,49.870000,49.870000,22.980000,22.980000,-0.370000,-0.370000
Ge-W-Te-Se,6.936000,6.936000,17.535000,1.000000,41.430000,58.670000,-41.660000,-41.660000,-8.620000,-8.620000,50.050000,50.050000,1.420000,1.420000
Hf-Cr-O-S,6.338000,6.338000,21.004000,1.000000,182.960000,69.370000,156.650000,156.650000,56.790000,56.790000,126.160000,126.160000,0.380000,0.380000
Hf-Cr-O-Se,6.429000,6.429000,20.412000,1.000000,119.990000,-188.730000,-176.850000,-176.850000,154.360000,154.360000,-34.370000,-34.370000,-1.570000,-1.570000
Hf-Cr-O-Te,6.578000,6.578000,19.497000,1.000000,205.810000,113.400000,143.320000,143.320000,46.200000,46.200000,159.610000,159.610000,0.550000,0.550000
Hf-Cr-Se-O,6.626000,6.626000,19.216000,1.000000,53.260000,12.050000,50.540000,50.540000,20.610000,20.610000,32.660000,32.660000,0.230000,0.230000
Hf-Cr-Se-S,6.882000,6.882000,17.812000,1.000000,91.070000,25.490000,83.940000,83.940000,32.790000,32.790000,58.280000,58.280000,0.280000,0.280000
Hf-Cr-Se-Te,7.178000,7.178000,16.373000,1.000000,99.200000,16.530000,96.440000,96.440000,41.330000,41.330000,57.860000,57.860000,0.170000,0.170000
Hf-Cr-S-O,6.496000,6.496000,19.994000,1.000000,110.490000,74.790000,59.870000,59.870000,17.850000,17.850000,92.640000,92.640000,0.680000,0.680000
Hf-Cr-S-Se,6.957000,6.957000,17.429000,1.000000,82.750000,-15.990000,79.660000,79.660000,49.370000,49.370000,33.380000,33.380000,-0.190000,-0.190000
Hf-Cr-S-Te,7.044000,7.044000,17.002000,1.000000,118.060000,15.560000,116.010000,116.010000,51.250000,51.250000,66.810000,66.810000,0.130000,0.130000
Hf-Cr-Te-O,6.308000,6.308000,21.200000,1.000000,104.760000,130.350000,-57.430000,-57.430000,-12.800000,-12.800000,117.560000,117.560000,1.240000,1.240000
Hf-Cr-Te-S,6.892000,6.892000,17.761000,1.000000,-35.750000,31.470000,-8.050000,-8.050000,-33.610000,-33.610000,-2.140000,-2.140000,-0.880000,-0.880000
Hf-Cr-Te-Se,7.034000,7.034000,17.051000,1.000000,-17.220000,30.810000,37.920000,37.920000,-24.010000,-24.010000,6.800000,6.800000,-1.790000,-1.790000
Hf-Ge-O-S,6.610000,6.610000,19.308000,1.000000,236.000000,66.710000,217.140000,217.140000,84.650000,84.650000,151.360000,151.360000,0.280000,0.280000
Hf-Ge-O-Se,6.745000,6.745000,18.544000,1.000000,13.830000,-98.990000,-694.580000,-694.580000,56.410000,56.410000,-42.580000,-42.580000,-7.160000,-7.160000
Hf-Ge-O-Te,6.741000,6.741000,18.568000,1.000000,160.730000,-0.910000,160.730000,160.730000,80.820000,80.820000,79.910000,79.910000,-0.010000,-0.010000
Hf-Ge-Se-O,6.472000,6.472000,20.139000,1.000000,-196.930000,-31.160000,-192.000000,-192.000000,-82.880000,-82.880000,-114.050000,-114.050000,0.160000,0.160000
Hf-Ge-Se-S,7.122000,7.122000,16.630000,1.000000,118.900000,41.810000,104.200000,104.200000,38.550000,38.550000,80.350000,80.350000,0.350000,0.350000
Hf-Ge-Se-Te,7.548000,7.548000,14.807000,1.000000,5.120000,2.900000,3.490000,3.490000,1.110000,1.110000,4.010000,4.010000,0.570000,0.570000
Hf-Ge-S-O,6.513000,6.513000,19.888000,1.000000,-39.590000,-53.740000,33.370000,33.370000,7.080000,7.080000,-46.660000,-46.660000,1.360000,1.360000
Hf-Ge-S-Se,7.196000,7.196000,16.294000,1.000000,113.690000,58.660000,83.420000,83.420000,27.510000,27.510000,86.170000,86.170000,0.520000,0.520000
Hf-Ge-S-Te,7.370000,7.370000,15.534000,1.000000,87.590000,70.600000,30.680000,30.680000,8.490000,8.490000,79.100000,79.100000,0.810000,0.810000
Hf-Ge-Te-O,6.332000,6.332000,21.045000,1.000000,58.800000,-6.980000,57.970000,57.970000,32.890000,32.890000,25.910000,25.910000,-0.120000,-0.120000
Hf-Ge-Te-S,7.245000,7.245000,16.072000,1.000000,33.210000,60.300000,-76.290000,-76.290000,-13.550000,-13.550000,46.760000,46.760000,1.820000,1.820000
Hf-Ge-Te-Se,7.506000,7.506000,14.974000,1.000000,28.410000,-1.190000,28.360000,28.360000,14.800000,14.800000,13.610000,13.610000,-0.040000,-0.040000
Hf-Mn-O-S,6.394000,6.394000,20.636000,1.000000,246.230000,35.510000,241.110000,241.110000,105.360000,105.360000,140.870000,140.870000,0.140000,0.140000
Hf-Mn-O-Se,6.467000,6.467000,20.172000,1.000000,252.050000,50.140000,242.080000,242.080000,100.950000,100.950000,151.100000,151.100000,0.200000,0.200000
Hf-Mn-O-Te,6.572000,6.572000,19.532000,1.000000,237.010000,81.840000,208.750000,208.750000,77.590000,77.590000,159.420000,159.420000,0.350000,0.350000
Hf-Mn-Se-O,6.631000,6.631000,19.184000,1.000000,177.980000,41.410000,168.350000,168.350000,68.290000,68.290000,109.700000,109.700000,0.230000,0.230000
Hf-Mn-Se-S,6.944000,6.944000,17.499000,1.000000,64.850000,-14.770000,61.480000,61.480000,39.810000,39.810000,25.040000,25.040000,-0.230000,-0.230000
Hf-Mn-Se-Te,7.280000,7.280000,15.917000,1.000000,108.620000,-0.720000,108.620000,108.620000,54.670000,54.670000,53.950000,53.950000,-0.010000,-0.010000
