Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Ba-O,12.763000,12.763000,15.557000,1.000000,14.730000,5.170000,12.910000,12.910000,4.780000,4.780000,9.950000,9.950000,0.350000,0.350000
Ba-S,15.333000,15.333000,10.779000,1.000000,-0.690000,-6.720000,64.690000,64.690000,3.010000,3.010000,-3.710000,-3.710000,9.730000,9.730000
Ba-Se,15.972000,15.972000,9.933000,1.000000,-5.140000,-11.140000,19.000000,19.000000,3.000000,3.000000,-8.140000,-8.140000,2.170000,2.170000
Ba-Te,17.043000,17.043000,8.725000,1.000000,-9.180000,-10.450000,2.710000,2.710000,0.630000,0.630000,-9.820000,-9.820000,1.140000,1.140000
Be-O,8.294000,8.294000,36.836000,1.000000,107.030000,22.490000,102.310000,102.310000,42.270000,42.270000,64.760000,64.760000,0.210000,0.210000
Be-S,10.324000,10.324000,23.774000,1.000000,48.410000,4.520000,47.990000,47.990000,21.950000,21.950000,26.470000,26.470000,0.090000,0.090000
Be-Se,10.966000,10.966000,21.074000,1.000000,41.300000,4.220000,40.870000,40.870000,18.540000,18.540000,22.760000,22.760000,0.100000,0.100000
Be-Te,12.040000,12.040000,17.482000,1.000000,28.630000,-0.350000,28.630000,28.630000,14.490000,14.490000,14.140000,14.140000,-0.010000,-0.010000
Cd-O,11.014000,11.014000,20.891000,1.000000,40.500000,25.200000,24.820000,24.820000,7.650000,7.650000,32.850000,32.850000,0.620000,0.620000
Cd-S,12.695000,12.695000,15.723000,1.000000,20.270000,5.580000,18.740000,18.740000,7.350000,7.350000,12.920000,12.920000,0.280000,0.280000
Cd-Se,13.308000,13.308000,14.309000,1.000000,20.990000,4.180000,20.160000,20.160000,8.410000,8.410000,12.590000,12.590000,0.200000,0.200000
Cd-Te,14.191000,14.191000,12.584000,1.000000,14.000000,0.960000,13.930000,13.930000,6.520000,6.520000,7.480000,7.480000,0.070000,0.070000
Mg-O,9.879000,9.879000,25.965000,1.000000,58.510000,29.890000,43.240000,43.240000,14.310000,14.310000,44.200000,44.200000,0.510000,0.510000
Mg-S,12.236000,12.236000,16.927000,1.000000,21.720000,6.210000,19.940000,19.940000,7.750000,7.750000,13.960000,13.960000,0.290000,0.290000
Mg-Se,12.869000,12.869000,15.301000,1.000000,17.500000,4.220000,16.480000,16.480000,6.640000,6.640000,10.860000,10.860000,0.240000,0.240000
Mg-Te,13.986000,13.986000,12.955000,1.000000,12.820000,4.120000,11.500000,11.500000,4.350000,4.350000,8.470000,8.470000,0.320000,0.320000
Sr-O,12.061000,12.061000,17.421000,1.000000,12.750000,6.490000,9.450000,9.450000,3.130000,3.130000,9.620000,9.620000,0.510000,0.510000
Sr-S,14.455000,14.455000,12.129000,1.000000,,,,,,,,,,
Sr-Se,15.120000,15.120000,11.084000,1.000000,,,,,,,,,,
Sr-Te,16.219000,16.219000,9.633000,1.000000,-13.110000,-13.560000,0.920000,0.920000,0.230000,0.230000,-13.330000,-13.330000,1.030000,1.030000
Zn-O,9.849000,9.849000,26.125000,1.000000,59.960000,32.050000,42.820000,42.820000,13.950000,13.950000,46.000000,46.000000,0.530000,0.530000
Zn-S,11.612000,11.612000,18.795000,1.000000,31.960000,4.950000,31.190000,31.190000,13.500000,13.500000,18.450000,18.450000,0.150000,0.150000
Zn-Se,12.252000,12.252000,16.882000,1.000000,22.500000,-0.900000,22.470000,22.470000,11.700000,11.700000,10.800000,10.800000,-0.040000,-0.040000
Zn-Te,13.232000,13.232000,14.474000,1.000000,17.370000,-1.840000,17.180000,17.180000,9.610000,9.610000,7.770000,7.770000,-0.110000,-0.110000
