Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Ge-S,7.429000,8.494000,13.180000,1.000000,45.770000,31.400000,6.200000,10.230000,1.840000,2.400000,9.880000,-38.840000,0.690000,1.130000
Ge-Se,7.951000,8.456000,12.370000,1.000000,58.150000,29.010000,24.340000,36.470000,8.120000,10.430000,24.290000,72.210000,0.500000,0.750000
Ge-Te,8.465000,8.727000,11.258000,1.000000,44.040000,25.830000,20.760000,25.460000,6.540000,7.400000,25.100000,45.360000,0.590000,0.720000
Si-S,6.696000,9.167000,13.549000,1.000000,65.040000,19.140000,18.390000,49.790000,7.100000,13.850000,13.030000,122.550000,0.290000,0.800000
Si-Se,7.505000,8.570000,12.929000,1.000000,53.780000,17.290000,35.390000,46.480000,13.390000,16.340000,26.080000,40.220000,0.320000,0.420000
Si-Te,8.208000,8.618000,11.756000,1.000000,61.910000,32.640000,19.220000,32.660000,6.290000,8.610000,20.330000,156.920000,0.530000,0.900000
Sn-S,8.124000,8.341000,12.273000,1.000000,27.350000,10.000000,21.130000,23.320000,7.740000,8.310000,16.650000,19.550000,0.370000,0.400000
Sn-Se,8.550000,9.032000,10.768000,1.000000,34.830000,21.530000,21.200000,21.400000,6.550000,6.590000,27.760000,28.450000,0.620000,0.620000
Sn-Te,9.162000,9.443000,9.611000,1.000000,28.480000,16.950000,18.660000,18.490000,5.850000,5.820000,23.040000,22.520000,0.600000,0.590000
