Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Ge-S,3.731000,4.223000,13.197000,31.000000,53.580000,33.360000,12.320000,19.960000,3.800000,4.970000,16.330000,-1241.560000,0.620000,1.010000
Ge-Se,3.968000,4.242000,12.351000,31.000000,56.620000,33.100000,13.260000,23.030000,4.190000,5.710000,15.960000,-771.390000,0.580000,1.010000
Ge-Te,4.234000,4.348000,11.292000,31.000000,43.810000,27.560000,17.600000,22.070000,5.400000,6.170000,23.730000,52.250000,0.630000,0.790000
Si-S,3.351000,4.569000,13.576000,31.000000,74.260000,22.390000,18.300000,54.240000,7.030000,14.320000,13.100000,255.530000,0.300000,0.890000
Si-Se,3.750000,4.291000,12.919000,31.000000,59.040000,41.130000,8.500000,13.510000,2.510000,3.210000,14.020000,-63.200000,0.700000,1.110000
Si-Te,4.099000,4.319000,11.743000,31.000000,51.860000,37.880000,15.900000,18.930000,4.590000,5.060000,29.490000,72.470000,0.730000,0.870000
Sn-S,4.073000,4.151000,12.294000,31.000000,19.180000,12.460000,11.090000,11.090000,3.360000,3.360000,15.820000,15.820000,0.650000,0.650000
Sn-Se,4.281000,4.282000,11.339000,31.000000,19.610000,10.870000,13.580000,13.580000,4.370000,4.370000,15.240000,15.240000,0.550000,0.550000
Sn-Te,4.573000,4.725000,9.622000,31.000000,34.580000,21.260000,10.670000,15.540000,3.300000,4.100000,13.860000,74.260000,0.610000,0.900000
